question_id,p_at_1,p_at_5,rr,ap
1894,1.000,0.400,1.000,0.610
1895,1.000,0.400,1.000,1.000
1896,0.000,0.200,0.000,0.292
1897,0.000,0.000,0.000,0.125
1898,1.000,0.400,1.000,0.653
1899,1.000,0.800,1.000,0.932
1900,1.000,0.800,1.000,0.887
1903,0.000,0.600,0.000,0.604
1904,0.000,0.200,0.000,0.268
1906,0.000,0.000,0.000,0.143
1908,1.000,0.600,1.000,0.850
1909,1.000,0.600,1.000,0.867
1910,1.000,0.800,1.000,0.732
1911,0.000,0.200,0.000,0.268
1912,0.000,0.400,0.000,0.634
1914,1.000,0.800,1.000,0.877
1916,1.000,0.200,1.000,0.521
1918,0.000,0.000,0.000,0.167
1919,0.000,0.000,0.000,0.000
1920,0.000,0.600,0.000,0.639
1921,0.000,0.200,0.000,0.250
1922,0.000,0.000,0.000,0.000
1924,0.000,0.000,0.000,0.000
1925,0.000,0.000,0.000,0.163
1926,0.000,0.200,0.000,0.200
1927,0.000,0.400,0.000,0.472
1928,0.000,0.400,0.000,0.360
1929,0.000,0.200,0.000,0.200
1930,1.000,0.800,1.000,0.760
1931,0.000,0.200,0.000,0.333
1932,1.000,0.400,1.000,1.000
1934,0.000,0.000,0.000,0.125
1935,0.000,0.000,0.000,0.208
1936,0.000,0.400,0.000,0.500
1937,0.000,0.000,0.000,0.000
1938,0.000,0.200,0.000,0.225
1939,0.000,0.200,0.000,0.319
1941,0.000,0.200,0.000,0.310
1942,1.000,0.800,1.000,1.000
1943,1.000,0.600,1.000,0.739
1944,1.000,0.200,1.000,0.600
1945,1.000,1.000,1.000,1.000
1946,0.000,0.400,0.000,0.361
1947,1.000,1.000,1.000,0.976
1948,0.000,0.000,0.000,0.000
1949,0.000,0.000,0.000,0.214
1950,0.000,0.200,0.000,0.349
1951,0.000,0.000,0.000,0.000
1952,0.000,0.000,0.000,0.000
1953,0.000,0.000,0.000,0.213
1954,0.000,0.200,0.000,0.200
1956,0.000,0.600,0.000,0.525
1958,1.000,1.000,1.000,1.000
1959,0.000,0.000,0.000,0.143
1960,0.000,0.000,0.000,0.000
1961,0.000,0.200,0.000,0.321
1962,0.000,0.200,0.000,0.183
1965,0.000,0.000,0.000,0.000
1966,0.000,0.000,0.000,0.000
1967,1.000,0.800,1.000,0.734
1968,0.000,0.000,0.000,0.183
1969,0.000,0.400,0.000,0.504
1970,0.000,0.200,0.000,0.338
1971,0.000,0.000,0.000,0.225
1973,0.000,0.000,0.000,0.143
1974,1.000,1.000,1.000,1.000
1975,0.000,0.200,0.000,0.500
1976,0.000,0.400,0.000,0.403
1977,0.000,0.000,0.000,0.000
1978,0.000,0.000,0.000,0.000
1979,0.000,0.000,0.000,0.000
1980,0.000,0.600,0.000,0.614
1981,0.000,0.200,0.000,0.399
1982,0.000,0.000,0.000,0.091
1983,0.000,0.600,0.000,0.608
1984,0.000,0.400,0.000,0.443
1985,0.000,0.400,0.000,0.430
1986,0.000,0.000,0.000,0.288
1989,0.000,0.000,0.000,0.000
1990,0.000,0.000,0.000,0.000
1991,0.000,0.000,0.000,0.000
1992,0.000,0.000,0.000,0.125
1993,1.000,1.000,1.000,0.982
1994,1.000,0.200,1.000,1.000
1995,0.000,0.000,0.000,0.167
1996,1.000,0.800,1.000,0.839
1997,1.000,0.400,1.000,0.833
1998,0.000,0.400,0.000,0.467
1999,0.000,0.000,0.000,0.000
2000,0.000,0.400,0.000,0.500
2001,1.000,0.400,1.000,0.722
2003,0.000,0.200,0.000,0.225
2004,1.000,1.000,1.000,1.000
2005,0.000,0.400,0.000,0.489
2007,0.000,0.600,0.000,0.632
2009,0.000,0.000,0.000,0.125
2010,1.000,0.800,1.000,0.774
2011,0.000,0.200,0.000,0.310
2012,0.000,0.000,0.000,0.100
2013,1.000,0.400,1.000,0.555
2015,0.000,0.200,0.000,0.211
2016,0.000,0.600,0.000,0.525
2017,1.000,0.600,1.000,0.817
2018,1.000,1.000,1.000,1.000
2019,0.000,0.000,0.000,0.083
2020,0.000,0.800,0.000,0.645
2021,1.000,0.800,1.000,0.862
2022,0.000,0.600,0.000,0.630
2023,0.000,0.600,0.000,0.664
2025,0.000,0.600,0.000,0.458
2026,0.000,0.000,0.000,0.083
2027,0.000,0.400,0.000,0.500
2028,0.000,0.400,0.000,0.325
2029,1.000,0.400,1.000,0.605
2030,0.000,0.200,0.000,0.225
2031,0.000,0.000,0.000,0.000
2032,0.000,0.200,0.000,0.247
2033,0.000,0.400,0.000,0.415
2035,0.000,0.400,0.000,0.519
2036,0.000,0.000,0.000,0.143
2037,0.000,0.000,0.000,0.000
2038,0.000,0.400,0.000,0.443
2039,0.000,0.000,0.000,0.167
2040,0.000,0.000,0.000,0.143
2043,0.000,0.000,0.000,0.000
2044,1.000,0.800,1.000,0.823
2045,0.000,0.200,0.000,0.337
2047,0.000,0.200,0.000,0.250
2048,1.000,0.600,1.000,0.665
2049,0.000,0.000,0.000,0.000
2050,0.000,0.400,0.000,0.556
2051,0.000,0.000,0.000,0.000
