question_id,p_at_1,p_at_5,rr,ap
2094,0.000,0.000,0.000,0.083
1979,0.000,0.000,0.000,0.000
2003,0.000,0.200,0.000,0.268
2257,1.000,0.800,1.000,0.895
2018,1.000,1.000,1.000,1.000
2331,0.000,0.000,0.000,0.112
2184,1.000,1.000,1.000,0.910
2335,1.000,0.400,1.000,0.667
2381,1.000,0.600,1.000,0.867
1918,0.000,0.000,0.000,0.143
2105,0.000,0.800,0.000,0.760
1958,1.000,1.000,1.000,1.000
2087,0.000,0.400,0.000,0.560
2053,1.000,0.400,1.000,1.000
2336,0.000,0.200,0.000,0.321
2226,1.000,0.400,1.000,0.638
2236,0.000,0.000,0.000,0.230
2009,0.000,0.000,0.000,0.111
2200,0.000,0.000,0.000,0.000
2249,1.000,0.800,1.000,0.825
2204,0.000,0.000,0.000,0.000
2109,0.000,0.000,0.000,0.143
2259,0.000,0.000,0.000,0.000
1910,0.000,0.800,0.000,0.703
2145,1.000,0.400,1.000,0.833
2342,0.000,0.200,0.000,0.333
2187,0.000,0.000,0.000,0.143
2251,1.000,0.400,1.000,0.833
2277,1.000,0.600,1.000,0.758
2338,1.000,0.200,1.000,1.000
2337,0.000,0.200,0.000,0.243
2099,0.000,0.400,0.000,0.367
1947,1.000,1.000,1.000,0.944
2171,0.000,0.000,0.000,0.139
2010,1.000,0.800,1.000,0.924
2301,0.000,0.800,0.000,0.692
2143,0.000,0.200,0.000,0.306
2358,0.000,0.000,0.000,0.000
2020,0.000,0.600,0.000,0.581
2091,1.000,0.800,1.000,0.841
1980,0.000,0.800,0.000,0.748
2128,0.000,0.200,0.000,0.267
2153,1.000,0.600,1.000,0.806
2367,0.000,0.400,0.000,0.444
2241,0.000,0.400,0.000,0.444
2292,0.000,0.000,0.000,0.000
2168,1.000,0.600,1.000,0.700
2120,0.000,0.000,0.000,0.167
1930,0.000,0.800,0.000,0.667
2339,1.000,0.200,1.000,0.611
2330,1.000,0.800,1.000,0.877
1982,0.000,0.000,0.000,0.111
2037,0.000,0.000,0.000,0.000
1971,1.000,0.400,1.000,0.556
2237,0.000,0.400,0.000,0.497
2318,0.000,0.000,0.000,0.077
2106,1.000,0.800,1.000,0.856
1939,0.000,0.400,0.000,0.360
2056,0.000,0.400,0.000,0.500
2305,0.000,0.000,0.000,0.083
2090,1.000,0.800,1.000,0.860
2352,1.000,1.000,1.000,0.924
2230,1.000,1.000,1.000,1.000
2374,0.000,0.000,0.000,0.111
2273,0.000,0.000,0.000,0.155
1927,1.000,0.200,1.000,0.483
2025,1.000,0.600,1.000,0.771
1896,0.000,0.400,0.000,0.417
2362,0.000,0.200,0.000,0.382
1997,0.000,0.200,0.000,0.268
2197,1.000,0.600,1.000,0.794
2013,1.000,0.600,1.000,0.876
2067,0.000,0.000,0.000,0.000
1961,1.000,0.400,1.000,0.667
2190,1.000,0.600,1.000,0.690
2313,0.000,0.200,0.000,0.200
2169,1.000,0.600,1.000,0.653
1941,0.000,0.400,0.000,0.367
2334,1.000,1.000,1.000,1.000
2323,0.000,0.000,0.000,0.000
2233,0.000,0.200,0.000,0.393
2063,0.000,0.000,0.000,0.000
2247,0.000,0.000,0.000,0.146
1998,0.000,0.200,0.000,0.269
2354,1.000,0.200,1.000,0.452
2319,0.000,0.600,0.000,0.646
2276,0.000,0.000,0.000,0.000
2281,0.000,0.200,0.000,0.393
2302,0.000,0.400,0.000,0.360
1924,0.000,0.000,0.000,0.000
2279,0.000,0.000,0.000,0.000
2283,0.000,0.200,0.000,0.200
2083,0.000,0.000,0.000,0.129
2131,1.000,0.600,1.000,0.669
2036,0.000,0.200,0.000,0.200
1991,0.000,0.000,0.000,0.000
2123,0.000,0.200,0.000,0.250
2019,0.000,0.000,0.000,0.100
2100,0.000,0.200,0.000,0.333
1962,0.000,0.200,0.000,0.202
2299,0.000,0.600,0.000,0.612
1895,0.000,0.200,0.000,0.200
2378,1.000,0.400,1.000,0.732
1912,0.000,0.400,0.000,0.597
1968,0.000,0.400,0.000,0.367
1951,0.000,0.000,0.000,0.000
2104,0.000,0.000,0.000,0.167
2264,0.000,0.200,0.000,0.269
