question_id,p_at_1,p_at_5,rr,ap
2252,0.000,0.200,0.000,0.200
2232,1.000,0.600,1.000,1.000
2210,0.000,0.400,0.000,0.524
2358,0.000,0.000,0.000,0.000
2176,0.000,0.000,0.000,0.000
2167,0.000,0.000,0.000,0.000
2204,0.000,0.000,0.000,0.000
2193,1.000,1.000,1.000,1.000
2261,1.000,0.400,1.000,0.705
2027,1.000,0.400,1.000,1.000
2247,0.000,0.000,0.000,0.146
2001,1.000,0.400,1.000,0.633
2119,0.000,0.800,0.000,0.679
2374,0.000,0.000,0.000,0.111
2073,0.000,0.600,0.000,0.568
2347,0.000,0.600,0.000,0.563
2173,0.000,0.400,0.000,0.325
2390,0.000,0.000,0.000,0.143
2393,0.000,0.000,0.000,0.125
2269,0.000,0.000,0.000,0.167
2265,0.000,0.200,0.000,0.500
2356,1.000,0.200,1.000,1.000
2381,1.000,0.600,1.000,0.867
1990,0.000,0.000,0.000,0.000
2329,0.000,0.200,0.000,0.500
1944,0.000,0.200,0.000,0.236
1894,0.000,0.200,0.000,0.329
2273,0.000,0.000,0.000,0.155
2025,1.000,0.600,1.000,0.771
2106,1.000,0.800,1.000,0.856
2384,0.000,0.200,0.000,0.321
1946,1.000,0.200,1.000,0.485
2205,0.000,0.200,0.000,0.292
2059,1.000,0.200,1.000,1.000
1998,0.000,0.200,0.000,0.269
2076,0.000,0.000,0.000,0.222
2296,1.000,0.600,1.000,0.668
2195,1.000,1.000,1.000,0.953
2102,1.000,0.400,1.000,0.768
2352,1.000,1.000,1.000,0.924
2383,1.000,0.200,1.000,1.000
2023,0.000,0.800,0.000,0.679
2391,1.000,0.600,1.000,0.833
2020,0.000,0.600,0.000,0.581
2058,0.000,0.400,0.000,0.417
2155,0.000,0.000,0.000,0.226
1966,0.000,0.000,0.000,0.000
1896,0.000,0.400,0.000,0.417
2288,0.000,0.200,0.000,0.241
1989,0.000,0.000,0.000,0.000
2152,0.000,0.200,0.000,0.427
2189,0.000,0.000,0.000,0.000
2074,1.000,0.800,1.000,0.786
